disease,oob_score,train_rows,test_rows,features_total,features_sarsa,mae,rmse,r2,mape_pct,outbreak_accuracy,uncertainty_mean,mae_no_sarsa,r2_no_sarsa,sarsa_improvement_r2,sarsa_improvement_mae
malaria,0.5248,25410,11550,50,7,0.4127,0.5817,0.6116,84428.39,0.8542,0.3606,0.5256,0.41,0.2016,0.1129
cholera,0.516,25410,11550,50,7,0.4222,0.588,0.6062,104522.98,0.8551,0.366,0.5297,0.4124,0.1938,0.1075
typhoid,0.5193,25410,11550,50,7,0.4194,0.5916,0.596,113606.9,0.8485,0.3584,0.5298,0.4015,0.1944,0.1104
tuberculosis,0.5222,25410,11550,50,7,0.4241,0.6,0.5938,94098.78,0.8503,0.3593,0.5314,0.4076,0.1862,0.1072
meningitis,0.5237,25410,11550,50,7,0.4173,0.5965,0.6017,103714.71,0.8538,0.3575,0.5248,0.4192,0.1825,0.1075
lassa_fever,0.5239,25410,11550,50,7,0.4141,0.5818,0.6212,75469.38,0.8622,0.3615,0.5244,0.4283,0.1929,0.1103
diarrhoeal,0.5194,25410,11550,50,7,0.425,0.596,0.5941,102042.52,0.852,0.3592,0.5293,0.4108,0.1833,0.1043
yellow_fever,0.5212,25410,11550,50,7,0.4188,0.5886,0.603,99660.52,0.8546,0.3582,0.5265,0.4132,0.1898,0.1078
